排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
88,華碩,Prime MR120 ARGB(黑) 反向扇,ARGB/圓幅式無限鏡/1500RPM/PWM/三年保,366.9833333,366.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
89,喬思伯,ZB-360 黑(反向) 一體式風扇,ARGB/圓幅式無限鏡/1500RPM/PWM/三年保,365.525,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
90,喬思伯,ZB-360 白(反向) 一體式風扇,ARGB/全幅式無限鏡/2400RPM/PWM/三年保,365.525,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
91,喬思伯,ZB-360 黑(正向) 一體式風扇,ARGB/全幅式無限鏡/2400RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
92,喬思伯,ZB-360 白(正向) 一體式風扇,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
93,Scythe,Wonder Tornado 120 霓風丸 2500,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
94,聯力,UNI FAN TL Wireless 120 積木扇(黑) 單顆裝,ARGB/全幅式無限鏡/2400RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
95,聯力,UNI FAN TL Wireless 120 積木扇(白) 單顆裝,ARGB/全幅式無限鏡/2400RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
96,聯力,UNI FAN TL Wireless 120 反向扇(黑) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
97,聯力,UNI FAN TL Wireless 120 反向扇(白) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,365.4833333,365.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
98,貓頭鷹,Noctua NF-A14PWM chromax.black.swap,S-FDB軸承/PWM/1850RPM/防震軟墊/六年,364.65,364.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
99,貓頭鷹,Noctua NF-A12x15 PWM chromax.black.swap,S-FDB軸承/PWM/1850RPM/防震軟墊/六年,361.3166667,361.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
100,darkFlash,S100 12cm 白,高風壓/S-FDB軸承/PWM/2150RPM/防震軟墊/六年,353.525,353.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
101,Acer,Predator Frostblade 120 風扇,高風壓/S-FDB V2軸承/PWM/1500RPM/防震軟墊/六年,350.3583333,350.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
102,MSI,MAG F120 ARGB(白) 12cm 反葉風扇,高風壓/S-FDB V2軸承/PWM/1500RPM/防震軟墊/六年,350.3166667,350.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
103,曜越,CT140 ARGB 黑 14cm風扇,雙滾珠軸承/PWM/2500RPM/無內附螺絲/六年,348.8583333,348.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
104,曜越,CT140 ARGB 白 14cm風扇,低轉靜音/300-1300RPM/PWM/附轉接大4pin/六年,348.8583333,348.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
105,貓頭鷹,Noctua NF-A14PWM,效能款/600-2500RPM/PWM/附轉接大4pin/六年,348.8166667,348.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
