排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Radiator_Size_分數,Thermal_Performance_分數,Noise_Level_分數,Fan_Performance_分數
125,COUGAR,POSEIDON-GT 360 水冷,可旋轉頂蓋/堆疊式冷頭風扇(選購)/3年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
126,COUGAR,Poseidon Vistek ARGB 360(黑) 水冷,可旋轉頂蓋/堆疊式冷頭風扇(選購)/3年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
127,COUGAR,Poseidon Vistek ARGB 360(白) 水冷,可旋轉頂蓋/堆疊式冷頭風扇(選購)/3年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
128,COUGAR,Poseidon Vistek Pro ARGB 360(黑) 水冷,IceMyst系列專用/ARGB/堆疊式卡扣/320度旋轉設計,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
129,COUGAR,Poseidon Vistek Pro ARGB 360(白) 水冷,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
130,Phanteks,Glacier One 360 D30 X2(黑) 水冷,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
131,Phanteks,Glacier One 360 D30 X2(白) 水冷,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
132,XPG,LEVANTEII 360(黑) 水冷,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
133,XPG,LEVANTEII 360(白) 水冷,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
134,保銳,AQUAFUSION II ARGB 360 幻彩晶蝶,2.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
135,保銳,LIQMAXFLO 360 風晶凌,3.4吋可轉向磁吸液晶/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
